WeaponName,Type,Secondary,Game,Cost (Bolts),Upgrade Price,Range,Rate of Fire,AmmoSize,Ammo Cost (Bolts),CompletionPercentage,Completion
Lava Gun,Incendiary,Gun,Ratchet & Clank 2,"25,000",,Medium,High,200,1,42.86%,42.86
Decoy Glove (RaC2),Behaviour Affector,Glove,Ratchet & Clank 2,"5,000","50,000",Medium,Low,30,10,23.81%,23.81
Gravity Bomb,Bomb Launcher,Gun,Ratchet & Clank 2,0,,Medium,Low,8,50,0.00%,0
Bouncer,Bomb Launcher,Gun,Ratchet & Clank 2,"100,000",,Medium,Low,25,50,42.86%,42.86
Bomb Glove (RaC2),Bomb Launcher,Glove,Ratchet & Clank 2,"1,000","1,000",Medium,Medium,40,5,23.81%,23.81
Synthenoids,Combat Drones,,Ratchet & Clank 2,"65,000",,Medium,Medium,12,100,33.33%,33.33
Chopper,Disc Launcher,,Ratchet & Clank 2,"5,000",,Medium,Medium,35,4,4.76%,4.76
Blitz Gun,Shotgun,Gun,Ratchet & Clank 2,"15,000",,Medium,Medium,40,5,4.76%,4.76
Walloper (RaC2),Melee,Glove,Ratchet & Clank 2,"8,000","8,000",Melee,Low,Infinite,N/A,23.81%,23.81
Sheepinator,Target Morpher,Gun,Ratchet & Clank 2,0,,Short,High,Infinite,N/A,57.14%,57.14
Clank Zapper,Electric,,Ratchet & Clank 2,"1,000,000",,Short,Low,30,100,100.00%,100
Shield Charger,Shield,Electric,Ratchet & Clank 2,"100,000",,Short,Low,5,100,71.43%,71.43
Pulse Rifle,Sniper Rifle,,Ratchet & Clank 2,"20,000",,Very Long,Low,8,50,19.05%,19.05
Visibomb Gun (RaC2),Missile Launcher,Gun,Ratchet & Clank 2,"8,000","150,000",Very Long,Very Low,20,100,23.81%,23.81
N60 Storm,Blaster,Gun,Ratchet & Clank 3,"15,000",,Long,High,150,2,5.00%,5
Plasma Coil (RaC3),Electric,Gun,Ratchet & Clank 3,"150,000",,Long,Low,10,50,95.00%,95
Annihilator,Rocket Launcher,,Ratchet & Clank 3,"150,000",,Long,Medium,20,20,30.00%,30
Miniturret Glove (RaC3),Deployable,Glove,Ratchet & Clank 3,"25,000",,Medium,High,10,30,25.00%,25
Lava Gun (RaC3),Incendiary,Gun,Ratchet & Clank 3,"40,000",,Medium,High,150,3,25.00%,25
Qwack-O-Ray,Target Morpher,Gun,Ratchet & Clank 3,"200,000",,Medium,High,Infinite,N/A,85.00%,85
Suck Cannon (RaC3),Weaponized Vacuum,,Ratchet & Clank 3,"8,000",,Medium,High,10,N/A,10.00%,10
Infector,Behaviour Affector,Chemical Weapon,Ratchet & Clank 3,"18,000",,Medium,Low,15,20,10.00%,10
Nitro Launcher,Bomb Launcher,Gun,Ratchet & Clank 3,0,,Medium,Low,8,50,0.00%,0
Bouncer (RaC3),Bomb Launcher,Gun,Ratchet & Clank 3,"150,000",,Medium,Low,10,50,90.00%,90
Spitting Hydra,Electric,Homing Launcher,Ratchet & Clank 3,"40,000",,Medium,Low,15,5,15.00%,15
Disc Blade Gun,Disc Launcher,Gun,Ratchet & Clank 3,"175,000",,Medium,Medium,25,10,40.00%,40
RY3NO,Missile Launcher,Homing Launcher,Ratchet & Clank 3,"3,000,000",,Medium,Medium,25,"1,000",100.00%,100
Shock Blaster,Shotgun,Gun,Ratchet & Clank 3,0,,Medium,Medium,30,5,0.00%,0
Rift Inducer,Weaponized Vacuum,Gun,Ratchet & Clank 3,"180,000",,Medium,Medium,8,100,50.00%,50
Glove of Doom (RaC3),Combat Drones,Glove,Ratchet & Clank 3,"60,000",,Short,Low,6,75,20.00%,20
Shield Charger (RaC3),Shield,Electric,Ratchet & Clank 3,"250,000",,Short,Low,3,500,95.24%,95.24
Holoshield Glove,Shield,Glove,Ratchet & Clank 3,"30,000",,Short,Low,8,20,30.00%,30
Plasma Whip,Melee,Incendiary,Ratchet & Clank 3,"7,500",,Short,Medium,25,3,5.00%,5
Flux Rifle,Sniper Rifle,,Ratchet & Clank 3,"75,000",,Very Long,Low,10,50,25.00%,25
