WeaponName,Game,Cost (Bolts),Upgrade Price,First Available (Story Completion ),,Completion,R1PreIndex,R2PreIndex,R3PreIndex,R1PostIndex,R2PostIndex,R3PostIndex
Disc Blade Gun,Ratchet & Clank 3,"175,000",,40,,,,,,,,
Rift Inducer,Ratchet & Clank 3,"180,000",,50,,,,,,,,
Qwack-O-Ray,Ratchet & Clank 3,"200,000",,85,,,,,,,,
Bouncer (UYA),Ratchet & Clank 3,"150,000",,90,,,,,,,,
Plasma Coil (UYA),Ratchet & Clank 3,"150,000",,95,,,,,,,,
Shield Charger (UYA),Ratchet & Clank 3,"250,000",,95.24,,,,,,,,
RY3NO,Ratchet & Clank 3,"3,000,000",,100,,,,,,,,
N90 Hurricane,Ratchet & Clank 3,,"460,000",,,,,,,,,
Quantum Whip,Ratchet & Clank 3,,"180,000",,,,,,,,,
Liquid Nitrogen Gun,Ratchet & Clank 3,,"260,000",,,,,,,,,
Tempest,Ratchet & Clank 3,,"540,000",,,,,,,,,
Shock Cannon,Ratchet & Clank 3,,"420,000",,,,,,,,,
Multi-Disc Gun,Ratchet & Clank 3,,"500,000",,,,,,,,,
Ultrashield Launcher,Ratchet & Clank 3,,"140,000",,,,,,,,,
Infecto Bomb,Ratchet & Clank 3,,"220,000",,,,,,,,,
Decimator,Ratchet & Clank 3,,"580,000",,,,,,,,,
Megaturret Glove (UYA),Ratchet & Clank 3,,"620,000",,,,,,,,,
Heavy Bouncer (UYA),Ratchet & Clank 3,,"750,000",,,,,,,,,
Plasma Storm (UYA),Ratchet & Clank 3,,"750,000",,,,,,,,,
Splitter Rifle,Ratchet & Clank 3,,"340,000",,,,,,,,,
Nitro Eruptor,Ratchet & Clank 3,,"380,000",,,,,,,,,
Agents of Dread,Ratchet & Clank 3,,"660,000",,,,,,,,,
Rift Ripper,Ratchet & Clank 3,,"760,000",,,,,,,,,
Tesla Barrier (UYA),Ratchet & Clank 3,,"700,000",,,,,,,,,
RYNOCIRATOR,Ratchet & Clank 3,,,,,,,,,,,
Vortex Cannon,Ratchet & Clank 3,,"100,000",,,,,,,,,
Qwack-O-Blitzer,Ratchet & Clank 3,,"300,000",,,,,,,,,
